word,english,japanese,example,present,teForm,negative,past,pastNegative,potential,imperative,volitional,group,desirative,conditional,passive,causative,causativePassive,honorific,humble,mark
kaze wo hiku,to catch a cold,風邪をひく,,,hiite,,hiita; hikimashita,,,,,,,,,,,,,false
fuuhyou,rumor; gossip; false report,風評,,,,,,,,,,,,,,,,,,false
fuukei,scenery; view; landscape,風景,,,,,,,,,,,,,,,,,,false
kaze ga fuku,the wind blows,風が吹く,,,,,,,,,,,,,,,,,,false
kokyaku,customer; client,顧客, 顧客と話す (talk with a customer),,,,,,,,,,,,,,,,,false
negaigoto,a wish,願いごと,,,,,,,,,,,,,,,,,,false
negai,desire; wish; request; prayer; petition; application; appeal,願い,negai o tanomu (request a favor); お願いがあるんですが。(Will you do me a favor?),,,,,,,,,,,,,,,,,false
kaoiro,complexion,顔色,,,,,,,,,,,,,,,,,,false
kao,a face; features; a look; expression,顔,そんな真剣（しんけん）な顔してる (making such a serious face); Kare wa hito no yosasouna kao o shiteiru. (He has a good-natured face.),,,,,,,,,,,,,,,,,false
dai,a title; a heading; a theme; a subject; a topic,題,"Haha to iu dai de sakubun o kaite kudasai. (Please write a composition on the theme, ""Mother"".)",,,,,,,,,,,,,,,,,false
tayoru,to depend on,頼る,,tayorimasu,tayotte,tayorimasen,tayotta,,tayorareru,,,,,,tayorareru,,,,,false
tanomu,to request; to ask (a favor) (person に～を); to order; to entrust to; to beg; to rely on,頼む,kare ni kuru you ni tanonda ka? (Did you invite him?),tanomimasu,tanonde; tanomanakute,tanomanai; tanomimasen,tanonda; tanomimashita,tanomanakatta; tanomimasen deshita,tanomeru,,,,tanomitai,,,,,,,false
hinpan,frequent; incessant,頻繁,,,,,,,,,,,,,,,,,,false
unazuku,to nod; to bow one's head in assent; to nod approval,頷く,Sensei no setsumei o unazukinagara kiita. (I nodded while listening to the teacher's explanation.),unazukimasu,,,unazukimashita,,,,,,,,,,,,,false
zutsuu ga suru,to have a headache,頭痛がする,,,,,,,,,,,,,,,,,,false
atama ni kuru,to be mad; to be angry,頭にくる,,atama ni kimasu,atama ni kite,,atama ni kita,,,,,,,,,,,,,false
ryouiki,area; domain; territory; field; range; region,領域,,,,,,,,,,,,,,,,,,false
ryoudo,territory,領土,,,,,,,,,,,,,,,,,,false
gankona,stubborn,頑固な,,,,,,,,,,,,,,,,,,false
ganjou [na],solid; firm; stout; burly; strong; sturdy,頑丈な,,,,,,,,,,,,,,,,,,false
junchou,favorable; doing well; OK; alright,順調,,,,,,,,,,,,,,,,,,false
junban,turn (in line); oreder of things; sequential order,順番,順番に (in order),,,,,,,,,,,,,,,,,false
jun,order; turn (in line); obedient; docile; submissive,順,,,,,,,,,,,,,,,,,,false
koro,(approximate) time of ...; when …; around; about; toward,頃,~no koro (when ~); 子供のころ (when I was a child),,,,,,,,,,,,,,,,,false
onchi,deaf; tone-deaf; having no sense (of something); being hopeless (when it comes to something),音痴,私は音痴だ。(I am tone deaf.),,,,,,,,,,,,,,,,,false
ongaku,music,音楽,"音楽家（おんがくか, musician)",,,,,,,,,,,,,,,,,false
onseigaku,phonetics,音声学,,,,,,,,,,,,,,,,,,false
onsei,voice,音声,,,,,,,,,,,,,,,,,,false
kaban,bag; purse; briefcase; suitcase; satchel; basket,鞄,,,,,,,,,,,,,,,,,,false
kutsu no himo,shoe laces,靴の紐,,,,,,,,,,,,,,,,,,false
kawa,leather,革,kawagutsu (leather shoes),,,,,,,,,,,,,,,,,false
omoshiroi,interesting,面白い,,omoshiroi desu,omoshirokute,omoshirokunai,omoshirokatta,,,,,,,,,,,,,false
mensetsu,interview; job interview,面接,,,,,,,,,,,,,,,,,,false
mendou wo miru,to care for someone; to look after someone,面倒を見る,両親の老後の面倒を見るの？(Are you going to look after your parents in their old age?),,,,,,,,,,,,,,,,,false
mendou kakeru,to bother,面倒,御面倒かけました (I bothered you (I'm sorry).),,,,,,,,,,,,,,,,,false
menkai suru,to meet (face-to-face); to interview,面会する,,,,,,,,,,,,,,,,,,false
hijou bukuro,emergency kit,非常袋,,,,,,,,,,,,,,,,,,false
hijou ji,emergency,非常時,,,,,,,,,,,,,,,,,,false
hijou ni,very; extremely; exceedingly,非常に,,,,,,,,,,,,,,,,,,false
hikoushiki,informal,非公式,非公式の言葉（ことぼ）(informal words),,,,,,,,,,,,,,,,,false
shizumarikaeru,to fall silent; to become still as death,静まり返る,,,shizumarikaette,,,,,,,,,,,,,,,false
shizuka [na],silent; still; quiet; calm; peaceful; gentle,静かな,静かにしてください。（Please be quiet.); Toshokan de minna wa shizukani hon o yondeita. (In the library everybody was reading books quietly.); 静かになります (will be quiet),shizuka desu,shizuka de,shizuka ja nai; shizuka de ha nai,shizuka datta,shizuka de ha nakatta; shizuka ja nakatta,,,,,,shizuka nara(ba); shizuka de areba; ; shizuka dattara; shizuka ja nakereba,,,,,,false
aozora,blue sky,青空,,,,,,,,,,,,,,,,,,false
seishun,youth; adolescent,青春,,,,,,,,,,,,,,,,,,false
seinen,youth; young man,青年,,,,,,,,,,,,,,,,,,false
aoshingou,green light (signal),青信号,,,,,,,,,,,,,,,,,,false
aoi,blue,青い,massao (blue; pitch blue),,,,,,,,,,,,,,,,,false
aoi,blue; green; pale,青い,,,,,,,,,,,,,,,,,,false
roshutsu,exposure; disclosure,露出,,,,,,,,,,,,,,,,,,false
furueru,to shiver; to shake; to quake; to trouble; to quiver,震える,,,,,,,,,,,,,,,,,,false
densen,electric line; eletric cable; power cable,電線,,,,,,,,,,,,,,,,,,false
denkyuu,light bulb,電球,denkyuu ga kireta,,,,,,,,,,,,,,,,,false
dentou,electric light,電灯,,,,,,,,,,,,,,,,,,false
dengen,"electrical power; power (button on TV, etc.); source of electricity",電源,電源が切れているのです。,,,,,,,,,,,,,,,,,false
denryuu,electric current,電流,,,,,,,,,,,,,,,,,,false
denkikougaku,electric engineering,電気工学,,,,,,,,,,,,,,,,,,false
denkidai,electricity fee; charge for electricity,電気代,,,,,,,,,,,,,,,,,,false
denpou,telegram,電報,,,,,,,,,,,,,,,,,,false
dentaku,calculator,電卓,,,,,,,,,,,,,,,,,,false
denryoku,electric power,電力,,,,,,,,,,,,,,,,,,false
kaminari,thunder; lightning,雷,,,,,,,,,,,,,,,,,,false
kumoma,between clouds,雲間,,,,,,,,,,,,,,,,,,false
kumoyuki,look of the sky; turn of affairs; signs,雲行き,,,,,,,,,,,,,,,,,,false
funiki,"atmosphere (e.g., musical) mood; ambiance",雰囲気,,,,,,,,,,,,,,,,,,false
yukidoke,snow thaw; thawing,雪解け,,,,,,,,,,,,,,,,,,false
amagumo,rain cloud,雨雲,,,,,,,,,,,,,,,,,,false
tsuyu,rainy season,雨期,,,,,,,,,,,,,,,,,,false
amado,window shudder,雨戸,,,,,,,,,,,,,,,,,,false
amadoi,rain gutter,雨どい,,,,,,,,,,,,,,,,,,false
ame ga yamu,the rain stops,雨がやむ,,,,,,,,,,,,,,,,,,false
ame,rain,雨,雨が降る (ame ga furu; it rains); ame ga hageshiku futte imasu. (It's raining heavily.),,,,,,,,,,,,,,,,,false
nandai,difficult problem; challenge,難題,,,,,,,,,,,,,,,,,,false
muzukashii,hard; difficult; troublesome; serious,難しい,"yasashii (優しい) (easy, gentle, nice); Nihongo wa sonnani muzukashikunai. (Japanese is not that difficult to learn.)",,muzukashikute,muzukashikunai,,,,,,,,,,,,,,false
rikon suru,to get a divorce,離婚する,,,,,,,,,,,,,,,,,,false
hanareru,(something/someone) separates; parts from (と); to separate from;  to leave; to be away from; to leave,離れる,離れて (away),hanaremasu,hanarete,,hanareta,,hanarerareru,,,,,,,,,,,false
hanasu,to separate; to part; to divide; to keep apart,放す; 離す,手を放す,hanashimasu,hanashite; hanasanakute,hanasanai,hanashita,,,,,,,,,,,,,false
zasshi,magazine,雑誌,,,,,,,,,,,,,,,,,,false
shuukai,meeting,集会,,,,,,,,,,,,,,,,,,false
shuuchuu suru,to concentrate; to focus,集中する,,,,,,,,,,,,,,,,,,false
atsumeru,to collect (trans.)（～を）; to gather (something); to assemble,集める,切手を集める (to collect stamps),atsumemasu,atsumete; atsumenakute,atsumenai; atsumemasen,atsumeta; atsumemashita,atsumenakatta; atsumemasen deshita,atsumerareru; atsumereru,atsumero; atsumeru na,atsumeyou; atsumemashou,2 (ru-dropping),,atsumereba; atsumetara; atsumemashitara; atsumenakereba; atsumenakattara; atsumemasen deshitara,atsumerareru,atsumesaseru,atsumesaserareru,otsume ni naru; atsumerareru,,false
atsumaru,to gather; to collect; to assemble,集まる,,atsumarimasu,atsumatte,,atsumatta,,,,,,,,,,,,,false
shuu,collection; compilation,集,,,,,,,,,,,,,,,,,,false
kakureru,to hide; to conceal; to be hidden; to conceal oneself; to disappear,隠れる,顔（かお）隠れる,kakuremasu,kakurete; kakurenakute,kakurenai; kakuremasen,kakureta; kakuremashita,,,,,,,,,,,,,false
kakusu,to hide (something); to conceal,隠す,カードを体の後ろに隠しなさい。(Hide the cards behind your back.); kakushi (hiding; concealing; pocket (secret)),,kakushite,,kakushita,,,kakushinasai,,,,,,,,,,false
shouji,bedroom screen (paper) window,障子,,,,,,,,,,,,,,,,,,false
tsutsumu,to become sick; to be struck by disaster; to run into problems; to have an accident,障む,,,,,,,,,,,,,,,,,,false
sukima,crevice; crack; gap; opening,隙間,,,,,,,,,,,,,,,,,,false
kaku~,every other; second; alternate,隔,,,,,,,,,,,,,,,,,,false
zuibun,very (much); considerably (degree); a lot; pretty (degree); extremely; rather; quite; fairly,随分,zuibun mae kara … (since a very long time ago …); Zuibun tooku made aruita ne. (You really walked far!),,,,,,,,,,,,,,,,,false
zuihan suru,to attend; to accompany; to follow,随伴する,,,,,,,,,,,,,,,,,,false
kaidan,staircase; stairs; stairway; steps,階段,kaidan o noboru (go up the stairs),,,,,,,,,,,,,,,,,false
~tai,party; group; crew; team; body,隊,工作隊（こうさくたい）(construction crew),,,,,,,,,Grammar,,,,,,,,false
rikujou,track and field,陸上,,,,,,,,,,,,,,,,,,false
toujiki rui,pottery,陶磁器類,,,,,,,,,,,,,,,,,,false
kanbotsu,cave-in; collapse; sinking,陥没,,,,,,,,,,,,,,,,,,false
josetsu,snow removal,除雪,,,,,,,,,,,,,,,,,,false
josouzai,herbicide (for killing grass and weeds),除草剤,,,,,,,,,,,,,,,,,,false
jintsuu,labor pain; contractions (labor),陣痛,,,,,,,,,,,,,,,,,,false
inchou,director,院長,,,,,,,,,,,,,,,,,,false
genkai,limit,限界,,,,,,,,,,,,,,,,,,false
kagiru,to limit; to restrict; to confine,限る,,kagirimasu,kagitte,kagiranai,,,kagirareru,,,,,,,,,,,false
kagiri,limi; limits; bounds; degree; extent; scope; as far as possible; as much as possible; to the best of one's ability; very much; unless (after neg. verb),限り,,,,,,,,,,,,,,,,,,false
kousan suru,to give up; to surrender; to give in,降参する,,,,,,,,,,,,,,,,,,false
orosu,"to drop off (a passenger from a vehicle); to withdraw (money); to launch (e.g., a boat); to lower (e.g., a ladder); to let (a person) off; to unload",降ろす,koko de oroshite kudasai. (Please drop me off here (said to a driver).),oroshimasu,oroshite,orosanai,,,,,,,,,,,,,,false
furu,"to fall from the sky (e.g., rain, snow); to precipitate",降る,"雨が降れば、散歩（さんぽ）に行きません。 --- If it rains, I won't go for a walk.; hajimete yuki wo mimashita. (I saw snow for the first time.); 雨に降られました。 (I was caught in the rain.)",furimasu,futte,furanai; furimasen,futta; furimashita,,,,,,,futtara; fureba; furanakereba,,,,,,false
furitsumoru,"to fall and pile up (e.g., snow); to lie thick",降り積もる,,,furitsumotte,,furitsumotta,,,,,,,,,,,,,false
furisosogu,to rain incessantly; to downpour,降り注ぐ,,furisosogimasu,,,furisosogimashita,,,,,,,,,,,,,false
soshi,obstruction; check; hindrance; prevention; impediment; blocking; impediment; interdiction,阻止,,,,,,,,,,,,,,,,,,false
bousai kunren,emergency drill,防災訓練,,,,,,,,,,,,,,,,,,false
bouka,fire prevention,防火,,,,,,,,,,,,,,,,,,false
yamiyo no ~,aimless ~; indistinct ~,闇夜の～,,,,,,,,,,,,,,,,,,false
kanren suru,relation; connection,関連する,,,,,,,,,,,,,,,,,,false
kankei suru,to relate; to connect,関係する,,,,,,,,,,,,,,,,,,false
kankei,relation; relationship; connection; influence; effect,関係,kankei nai yo. (It does not matter).,,,,,,,,,,,,,,,,,false
kakawaru,to be affected; to be influenced,関わる；係わる,,kakawarimasu,,kakawaranai,,,,,,,,,,,,,,false
machigaeru,to make a mistake (～を),間違える,,machigaemasu,,,machigaeta,,,,,,,,,,,,,false
machigau,to be mistaken; to make a mistake,間違う,間違い (error; mistake); 間違ってる？ (Am I wrong?),machigaimasu,machigatte,machigawanai,machigatta; machigaimashita,,,,,,,,,,,,,false
manuke,foolish; stupid,間抜け,そんな失敗をしてまぬけだなあ。(You are stupid to make such a mistake.),,,,,,,,,,,,,,,,,false
kantoushi,interjection,間投詞,うわー；ひゃー；ええー,,,,,,,,,,,,,,,,,false
mamonaku,soon; shortly; before long; in a short time,間もなく,,,,,,,,,,,,,,,,,,false
ma ni au,"to be in time (～に); to serve (suit, meet) the purpose of; to be good enough; to be enough",間に合う,,ma ni aimasu,ma ni atte,ma ni awanai,ma ni atta; ma ni aimashita,,,,,,,,,,,,,false
aida,interval; time; distance,間,少しの間 (for a little while); tsukue to hondana no aida (between the desk and the bookshelf),,,,,,,,,,,,,,,,,false
kaikan jikan,"opening times (museums, libraries)",開館時間,,,,,,,,,,,,,,,,,,false
kaihatsu,to develop; to exploit,開発,,,,,,,,,,,,,,,,,,false
kaiten suru,opening of a store (for the day),開店する,,,,,,,,,,,,,,,,,,false
kaishi suru,to begin; to commence; to start; to initiate,開始する,開始 (start; commencement; beginning; initiation),,,,,,,,,,,,,,,,,false
