word,id,mark,definition,pronunciation,example
abstain [in],ddeb890e-809a-4a1a-be7d-77aced8328c9,false,to voluntarily withhold from; to hold oneself back; to refrain from,Alcoholics must abstain from any indulgence in alcoholic drinks.,
abstinent; abstinence,8cb7b9c8-14b7-419d-80a9-8203b5afc281,false,abstaining; voluntarily not doing something when tempted,,
abstract; abstraction,a97a0dcb-d051-40c8-a056-69bb2baeeec2,false,theoretical; impersonal; conceptual,antonym: actual; real; material,
abstruse,be7e0e63-05e9-4f92-8eae-5e474e123d4f,false,difficult to understand,ab STROOS,many abstruse theories; directions to the party were very abstruse
absurd; absurdity,141739a6-af19-4475-b9d7-55cdd6006b5e,false,,,
abundant; abundance,3acb542a-bc31-4a32-88e5-a5f9853da09f,false,,,
abusive,a90532d1-940a-4160-891f-1e7f5dbf4a72,false,,,
abyss,2b802db0-cdcd-4426-90cb-2190e976d07e,false,a bottomless pit; a yawning gulf; a profound depth or void,uh BISS,The lost spaceship wandered aimlessly in the vast abyss of the galaxy.; They were disheartened and faced an emotional abyss of despair.; staring down the abyss of the mine shaft
academician,0755a050-ac6b-435c-8297-cd30d563331c,false,,,
accede [to],7b66346f-adb2-4ff0-96b8-3c30ec499395,false,,,
accede; accessions,4825997a-6f0c-4ae6-b82c-345440880ded,false,"to give consent, approval, or adherence; agree; assent",ak SEED,
accelerant,db7f4b1c-f5c2-486d-a8d4-46815514b724,false,,,
accentuate,79347e8d-398a-45c0-8472-5a448b8e1b76,false,to emphasize; to accent; to highlight,ak SEN choo wayt,
acceptable; acceptability,239d4810-7215-4a14-9d79-bd22bacc2102,false,,,
accesory; accessories [to],9ad6328c-47ce-46ff-ba8f-12769624a9b2,false,,,
accession,59584e56-0dc7-4a58-915c-7c583ed0971b,false,"something added, as to a collection or formal group",,
"acclaim, acclaimed, acclamation",8927b17a-0f7f-4e1e-86b0-aebb82f481d9,false,praise; applause; admiration,,
"acclimate, acclimation",c1c62e33-7e58-4147-9fe9-31cf566cada7,false,to accustom or become accustomed to a new climate  or environment; adapt,,
accolade,5ed124d3-b131-4dee-81bc-8eb198d63b92,false,an award; an honor; approval; praise,AK uh layd,receieved accolades for …
accommodate; accommodative,d11f67d1-3139-40a5-9f3c-1c512f10241b,false,,,
accompany; accompanied; accompanying,f974ce5f-ddab-4800-9229-4e7a55633553,false,,accompanied [with] (referring to objects); accompanied [by] (referring to persons),
accomplice,787a688f-2699-4abc-9691-471da2a49387,false,,,
accorded,cdab0fe1-383e-400f-9434-72884477879b,false,,,
accordingly,4352df81-3cd6-4fc9-bedd-b681d92013df,false,,,
"accost, accosted",c5dc3d83-6896-4846-9c67-cff2e23f5fbb,false,to approach and speak to someone aggressively,,
account,3d2054e0-2f72-4d9b-ad40-0b6385e944db,false,,by many accounts,
accountable,6be5c8ae-6b55-42c1-8567-5669806b2a08,false,,accountable for (referring to actions); accountable to (referring to persons),
accrete,16246225-f8d9-4b5d-9987-787924873f07,false,to increase by growth or addition,,
accretion,8c862c64-ee3e-402e-87e7-caad75b3552d,false,something that has been added that doesn't necessarily belong,,
accretive,1335fef8-266e-4e1e-9fc8-8b10f1206031,false,an increase by natural growth or by gradual external addition,uh-kree-tiv,
acerbic,d1354f53-75f4-402b-8a60-a18561c3ecd9,false,harsh or severe in temper or expression,,
acidulous,6d404969-af60-4b0e-b8d2-4f84071eba12,false,slightly sour in taste or in manner; slightly sour; sourish; biting; caustic,,
acknowledge; acknowledgement; acknowledging,164da5ca-6073-49f7-b2c7-07a627b8b145,false,,,
acquiesce [to]; acquiescence,3e9768bd-bfad-4d36-888c-87b20b19952b,false,"to accept, comply, or submit quietly and passivelyto accept, comply, or submit quietly and passively",,
acquisition,0ee155df-778f-4eb9-9f1a-c1bc3c010b6b,false,,,
acquisitive,25f2be32-786c-4ee0-9873-ab1fab49bd07,false,seeking or tending to acquire,uh KWIZ uh tiv,
acquit; acquittal,cbe9fb01-4fc2-49ce-9e26-896d1b6ad673,false,to find not guilty; to behave or conduct onself,uh KWIT,
acrid,9fe91317-817c-479f-8508-dfdb175f4b8f,false,extremely or sharply stinging or bitter; exceedingly caustic,,
acrimonious,ca9154db-dc10-4248-9fc0-cadaa42ee117,false,angry; bitter; disputed,,
acrimony; acrimonious,50d00449-b85b-4368-bf9a-a57f0cfcc81c,false,"full of spite, bitter",,
activism,206ac6c4-2896-4be9-af20-a09bfb50abe5,false,,,
actual; actuality,d2bd46b4-73cf-4c31-af33-ed8b4b92bf73,false,,,
acuity,e540d2d0-5956-4f73-982d-e230e0b55623,false,keenness of sense and intelligence,,
acumen,ac60e9e0-a69c-49fc-84ab-313636299240,false,acuteness of mind; keenness of perception; discernment or discrimination,AK yoo men,
acute; acutely,a8355b81-3bd6-42c3-8762-881b884541af,false,sharp; shrewd,,
"adamant, adamancy",f5c22f2c-f14e-4e31-91bf-1f7539edef47,false,"stubborn, unyielding, completely inflexible",,
adaptation,ccb21ea8-c35a-4983-9f4d-3b1d16831413,false,,,
addict; addiction,30dc7e30-2030-466b-935e-7b660907aec8,false,antonym: wean,,
additivity,879bacf7-da2b-4086-9619-c17e0ff4783f,false,,,
address; addressed,4ac373a8-245a-409d-a35c-3b9916c3b412,false,,We fully addressed that matter.,
"adduce, adduced, adducing",d4dc3bf2-3394-41e1-92cc-44e865c6511d,false,"bringing forward as an example, reason, proof, for consideration in a discussion, analysis, or contention; offering, presenting, citing",,
adept,60c67ea5-f119-4d1a-b3db-0453f1518964,false,,,
adept; adeptly,edbada14-a229-45fb-9f99-c25956041b46,false,very skilled; proficient; expert,,
adequate; adequacy,821d2f80-78b5-483f-9b77-e0be21dd007d,false,,,
adhere; adherent,e6beafd5-d882-4dc3-bacf-21799f0e40f2,false,"to follow, support, believe in",,
adjacent [to]; adjecency,f558a970-30af-4539-a1e2-8ddb97c9e285,false,,,
adjectival,c505fbde-5f9d-48b3-8b09-77d497808ee8,false,,,
adjourn; adjourned,5ebc015f-f7fb-4e40-acca-00bd4ab3ed27,false,to suspend until another time,uh JURN,
adjudicate; adjudication,b86fd214-763c-4261-80cd-888da5d2a90f,false,a formal ruling by a tribunal,,
adjunct [to],6995a490-7cb0-4b0f-8de0-ffb99b397b69,false,"an inessential part, subordinate; something added or connected to another in a subordinate position; an assistant",AJ unkt,
ad-lib,6f44cf11-d0f8-47e6-b8a3-7ea2b38ca38b,false,to improvise; to speak or act spontaneously,AD lib,
administer,340c456b-d22d-4a34-ac45-d156191d7dac,false,,,
admire; admiration; admirable,6c4df6df-17ef-41bb-aa91-af52fc9eb7f7,false,,,
admission,acced70a-1748-49cb-a687-58a8f093d0ea,false,an acknowledgement,,
admit; admission,0b692600-bc5a-40ae-9286-6f731116cd7f,false,"confess to be true or to be the case, typically with reluctance",,
admonish; admonition,1bab5be3-ea66-46b9-97d8-76d4089a4fb7,true,to scold gently; to warn; an act or action of admonishing; to counsel or advise against something,add MAH nish,I was admonished
adolescent,dc6c7ecd-24b0-48f1-b6a4-05fcb16c3e60,false,,,
adore; adoration,5ceff97c-f4b8-4f50-800a-0c8ae03581b4,false,,,
adroit,a69fa0e3-7d08-4d58-ab3d-26f1f7347226,false,"cleverly skillful, resourceful, or ingenious: an adroit debater",uh DROYT,
adulate; adulation,aa578d5e-9989-44c7-a58d-ddbd21916cab,false,wild or excessive admiration; flattery,,
adulterate,2c16d305-82ef-44a9-b242-4aa4be72b849,false,"to debase or make impure by adding inferior materials or elements; use cheaper, inferior, or less desirable",,
advantageous,d0e6fe86-14c1-49fb-ae05-da55ff8f3a8e,false,,,
adventitious,d1dbc73c-04f9-4f9e-87ef-1e35e8c7ebbf,false,"coming from another source; added or appended extrinsically and not sharing original, essential, or intrinsic nature",,
"adverse, adversary; adversarial",a3a41cbb-2cd4-4a1a-bf6f-d8691dd1130d,false,"oppositional, confrontational",cooperative/adversarial,
"advocate, advocated, advocation",79f6ab25-ad45-4c15-8d6f-f68905d67153,false,to speak in favor of; to support; to promote,ADD voh kayt,
aegis,070b7ee4-d4f5-4092-918a-1e4fc21eaede,false,"the direction, control, supervision",,
Aesopian,0fd1d747-59f4-4b1a-93f0-128111487a07,false,conveying an innocent meaning to an outsider but a concealed meaning to an informed member of a consipiracy,,
aesthetic,2438340b-f001-498f-9df3-0cd9a8edccb6,false,having to do with the appreciation of beauty,es THET ik,
affable,1df629d3-19fa-42b9-a5b9-b04d902bbf88,false,easy to talk to; friendly,Af uh bul,
affair,226036d8-9231-46c1-b643-c07a50234999,false,anything done or to be done; anything requiring action or effort,,
affect,dc16acaa-871e-4e50-bb68-614cdc506bd1,false,to act on; produce an effect or change in; to give the appearance of; pretend or feign,,
affectation,513f77b6-57b7-4c2e-808c-92ebfa2e1a6f,false,"a manner of speech or behavior not natural to ones' actual personality or capabilities, usually intended to impress",,
affectionate,7325f56e-2f36-4909-8f1e-a2702949161f,false,,,
affidavit,79eb368a-631a-43df-8885-10bc25eb4bb2,false,a sworn written statement made before an official,af uh DAY vit,"had an affidavit from her neighbor giving her permission to cut down the tree; The chairman accepted an affidavit from the claimant, who was too ill to appear before the county commission."
affinity,d0f87680-2785-443a-a3bc-91dab03ea9ed,false,a natural attraction; kinship; similarity,uh FIN uh tee,
"affirm; affirming, affirmation; affirmatively; (ant. Negative)",ef5c08bf-ea8f-4d2a-93ab-5e3018e2a5a0,false,to state or assert positively; maintain as true,reject; abstain,
affix,806b72b2-36e1-4da8-aa02-643c1ab17647,false,to attach; to fasten,A price tag was affixed to each item.,
"afflict, affliction; afflicted",7dcd455b-f0fb-4b09-aeb3-6cdc7d4d4459,false,,,
afford; afforded,68ccd6ab-78f0-4392-bca8-11c8251e7ce0,false,"to give forth, or provide naturally or inevitably",,
affront,2606b874-fe55-4a53-b52e-860a02b2510c,false,a personally offensive act or word; deliberate act or display of disrespect; intentional slight; insult,,
afterthought,1e40d794-a127-437b-8a3f-a5842dd04f59,false,,casual afterthought,
agent; agency,91f815ae-e6c8-42b3-9093-662433d9ad67,false,,motivating agent,
agglomeration,fc1bbb55-3e0b-4a51-83da-e6bd1585086d,false,"a jumbled cluster or mass of varied parts, an indiscriminately formed mass",,
aggrandize,dff38c2b-6fcc-47a6-9d11-f21692a341b1,false,"to exaggerate, put on a false front, and make something look greater and grander than it really is; to increase in size; to enlarge",uh GRAN dize,"To aggrandize his achievements, he would make up unbelievable stories of personal accomplishments.; the greatest aggrandizement of the entire evening; He aggrandized his assets by borrowing so much money and buying extravagant homes, cars, and boats."
aggravate; aggravated,b36365dc-d426-4e93-95a2-088ded53720d,false,to make worse,vs. irritate (to annoy),
aggregate,9a51e2eb-b9ed-4e46-a373-854b8d6f1d7b,false,sum total; collection of separate things mixed together,,
aggrieve; aggrieved,ac800749-f57c-4e84-8b6e-659d63db2c50,false,to mistreat; to do greivous injury to; to distress,uh GREEV,She is always aggrieved.
agile; agility,fef99b3b-c942-4885-9726-8eb47d49d6b4,false,"able to move quickly and easily; quick and well-coordinated in movement; lithe;
marked by an ability to think quickly; mentally acute or awareable to move quickly and easily; quick and well-coordinated in movement; lithe;
marked by an ability to think quickly; mentally acute or aware",AHJ uhl,
agitation,dc057480-7c75-4ff8-8393-3a8ddf3f0e3e,false,,,
agonize; agony; agonizing,3cb979ea-8300-4151-b592-07b12fec3e64,false,,,
aimed,af7f3704-68b1-4dd8-9305-dd3fb78196a8,false,,,
aimless; aimlessly,2084b020-9e54-4f9a-8aaa-bd4d61471e3b,false,,,
akin [to],47fda884-e6be-44fd-a179-9cd3f0100d25,false,"similar in nature; having the same properties, often used with ""to""; tantamount",,
alacrity,80cb97fe-ddb4-42b6-bfe2-0e19acd98d4d,false,cheerful eagerness or readiness to respond,uh LAK ruh tee,
alarming,bf0a6ab4-4888-419d-b15f-656b9dbb3848,false,,,
albeit (conjunction),16bd3fb4-f030-46c7-8c7b-4e1aedc338a7,false,even though,,
alchemy,95d166fb-843f-458a-8902-bd32033ec872,false,"any magical process of transforming a common substance, usually of little value, into a substance of great value",,
alibi,0ea01a34-0568-4097-b418-b99b62b26c07,false,a defensive excuse,His alibi was ironclad; he was in the hospital at the time of the murder.,
alienate; alienation,54da6a03-6dba-435e-8241-bdf4b1d8abdb,false,to make hostile; to cause to feel unwelcome or estranged,AY lee uh nate,The boss alienated his secretary by shouting at her.; He felt alienated from the rest of the team.
align; alignment; aligned,12225b2d-d758-416f-b000-34766bb59601,false,,,
alike,6bd1d8a5-6d4f-4da3-ba96-11cb7fe2627e,false,,,
all right,cbbec106-ac34-4fa5-afd4-542ba8becbeb,false,,,
allay,4bdc1fd6-fae6-4bbd-8d48-2803d6b49815,false,"to relieve, mitigate, or alleviate",,
"allege, alleged, allegation; allegiance",4293a589-999d-4a72-82e3-1af0fe9e89bd,false,to assert without proof,,
"allegiant, allegiance",9e76c507-1f88-4a7c-9ba4-f0d928a8d66d,false,loyal or devoted to something,,
allegory,28e1eed5-c4ec-4f78-b9bf-3a7406931841,false,,,
allegory; allegoric,2ce472e4-5c0a-4ec0-a35f-ecea08852f0a,false,a figurative mode of representation conveying meaning other than the literal; an extended metaphor,AL uh gawr ee,
alleviate; alleviation,49768253-8323-4bb9-b38b-14583dc9ce6b,false,"to ease a pain or burdern; to relieve, usually temporarily or incompletely; to lessen",uh LEE vee ayt,alleviated the need for…; alleviates painful headaches
alliance,6ec33e97-b008-4299-a5ba-3f34e407dd8a,false,,,
allocate,8a892269-4e7d-48cf-93d9-5de26d12cd0d,false,,,
allowance,0bf56400-d45e-4972-a66d-deebd80b9a61,false,,,
alloy; alloyed,42c9922b-75eb-475b-94a7-a0eb0ff9b726,false,"to debase, impair, or reduce",,
allude; allusion,4a72ea59-47a0-494e-8510-f08e2416dca1,false,briefly or indirectly refer to; an indirect reference to something else; a hint,"allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.",
allure,c2dd5bcd-47ae-41e7-9404-c2b4f593e773,false,to entice with something desirable; to tempt; fascination; charm; appeal,uh LUHR,Not all fish lures allure all fish.; allured the crowd; were allured into believing that…; allured by the thought of wealth
allurement,ea95603e-65a6-48cc-abdd-5f4f0ba642eb,false,something that attracts or entices,,
alluring,f8dd185d-d8df-4da6-b4af-167d4354523d,false,very attractive or tempting; enticing; seductive,,
aloof,066553e5-1f7c-469f-94e0-07d1167e49fc,false,"distant; reserved in manner; uninvolved, standing off",uh LOOF,
altercation,bb68265f-00ac-4768-bb4c-5305e5639c54,false,a heated dispute,,
"altruistic, altruism, altruistically",f125ab79-94e5-483a-90d5-b056a74d4b64,false,selflessness; generosity; devotion to the interests of others,AL troo iz im,
amalgam,86c20af3-db3e-40b8-a479-f5ab051043cd,false,mixture,,
amalgamate,0240a00c-a6c5-43b2-b5e2-30c213f1612c,false,,,
amass,119b8cf3-6a75-446b-a941-a2c2f712be80,false,to accumulate; to collect into a mass or pile; gather,uh MAS,
ambidextrous,ba13b51f-a9bd-4e8a-be9d-00771c26304f,false,,,
ambience,54842685-ae6d-41d6-a818-362eedba0631,false,atmosphere; mood; feeling,AM bee uns,"an ambience of gaiety; The ambience in the Italian restaurant was delightful; there was soft music, candlelight, and…"
ambient,43b78061-7ba1-45b5-a96c-ef544903856b,false,"surrounding on all sides; encompassing, enveloping",,
ambiguous; ambiguity; ambiguously,1fbc979f-cc67-48e0-94b7-846df80fb2fa,false,open to more than one interpretation; unclear in meaning; confusing,am BIG yoo us,
ambivalent; ambivalence,f4bb1810-9023-48c4-82fe-9351da2c0271,false,undecided; having opposed feelings simultaneously; uncertainness,am BIV uh lint,
ameliorate,b8f15237-1b5c-431f-a5aa-2564a5c50013,false,to make better or more tolerable,uh MEEL yor ayt,
amenable,0d335cda-6bb3-418e-9c66-c6f425dc3991,false,agreeable; obedient; willing to give in to the wishes of another; responsible to authority,uh MEE nuh bul,always amenable to any reasonable solution to a problem; Sarah was amenable to calling back tomorrow when the office would be open.
amend,6d290605-3f22-4cec-87c2-e9cfc46e5435,false,,,
amenity,9645749b-583c-4811-a1f5-cda4105b2a5e,false,pleasantness; attractive or comfortable feature,,
amiable,05eedd43-9b3b-4e8b-a148-3c536ebac988,false,friendly; agreeable; good-natured,AY mee uh bul,
"amicable, amicably",a0a7b535-fb91-4804-a04e-f0084086f02c,false,politely friendly,,settling matters amicably
amid (prep),1ab14637-6b08-46da-8df3-504a6b9595b3,false,in the middle of,uh MID,
amity,7028dd41-4ca0-48ba-bbb1-db3f0c92a130,false,friendship,,
amorous,575608cf-027d-4043-abcc-2840b7511864,false,"feeling love, especially in a sexual sense; in love; passionate",,
amorphous,5de3614b-b6f1-45e8-b3d6-98610ed44641,false,"without definite shape, substance, or form; lacking definition and boundaries",uh MORE fis,
"ample, amply",a1bf00e1-2cef-4673-9d9e-3c52cb6a124e,false,,,
amplify,c0791087-4dd1-4f8a-952b-5064d66a020c,false,,,
"amplify, amplified",550a5ff9-ae84-4b67-8469-2f439b9e8548,false,amplified/diminished,,
amusingly,4ddf0a9d-93e4-484b-978a-60612f9961e3,false,,,
"anachronism, anachronistic",cd841c6b-499b-46ba-84bd-e3b647d09019,false,in the wrong time period; something out of place in time or history; an incongruity,uh NAK ruh niz um,
anaemic,e360273f-6e6c-4e76-ae02-f14b9069f0d2,false,pale and sickly looking; lacking vitality,,
anagram,cab52db3-f057-415a-82a5-f2e212475a85,false,"a word, phrase, or sentence formed from another by rearranging its letters",,
analogue,f3072c72-608a-4f4c-be80-6608291de02b,false,something similar; another version of the same thing,,
"analogy, analogous",400222b2-c244-41dd-bb88-f7223ebb2f9e,false,a comparison of one thing to another; similarity,,
analyze; analysis,1190afbe-9376-49f6-b504-257300e54a9e,false,,,
"anamoly, anamolous",ea8e449a-d901-4854-b590-e62c73683986,false,an aberration; an irregularity; a deviation,,
anarchic,6b6451c0-cec5-48c9-889c-1d2c701c9ecf,false,tending toward anarchy; lawless; rebellious,,
anathema,83cedbc4-71f9-4d62-8dbc-07d0c407244d,false,something or someone loathed or detested,uh NATH uh muh,
anatomy,1f1164f8-aad5-4ef7-899a-9eeeca0cce8b,false,,,
ancillary; ancillaries,0643c88c-ec16-4ac0-9ab8-249b18847578,false,subordinate; subsidiary,AN suh ler ee,
"anecdote, anecdotal",90cf68d8-635f-4fb8-a912-d9e3b04934e1,false,based on personal experience or unsubstantiated reports,,
"anecdote, anecdotal evidence",e816c0a8-f38d-47e6-bc7b-e7139372e54f,false,,,
anemic,72ef6dd7-9d14-466b-b1b7-a5cb5abcfdcb,false,"lacking power, vigor, vitality",,
animate,033aaa1f-5207-4f40-9a6c-11a52849e230,false,,,
animated,c2bda8bd-08cb-4c1b-b265-d0be578b1f02,false,alive; moving,,
animosity,7af492f1-5d85-4790-80bb-cc7f48f2590b,false,resentment; ill will; enmity; strong hostility; hatred,,
animus,159fc7aa-27d0-48ce-892f-913cc57bee79,false,"ill will; antagonism; hostility, sometimes virulent",,
annex; annexation,8914b57f-514e-4c79-8d6b-e5c3ce650129,false,to add or attach,uh NEKS,
annotated,96a64fee-dd0a-48bc-9eaf-824b9ce949a0,false,,,
annul; annulment,1a5613ea-ceaf-4bc5-b648-e5ae74975104,false,,,
anomalous,38ddfea0-86d6-4345-bde9-6fad9dbd10da,false,unusual in context; irregular;  abnormal; incongruous,,
anomaly,37472d33-5f46-4719-8464-839ead6b7f44,false,deviation from the normal or common order; abnormality,an AHM ah lee,
anonymous; anonymity,0b7dc1fa-3149-498f-8047-8fea86da469c,false,,,
antagonist; antagonize,d88354eb-843e-44b1-9189-adb52f46260b,false,,,
antecedent; antecedently,af92d618-2847-41a2-9652-9b6debb4945e,true,"going before; the ancestor of an existing product, idea, or other thing",antecedent influences,
antedate,34cdc2d4-25c6-42ab-9a58-bc202a8a94c6,false,,,
anterior,fad2bc78-54de-4ada-9eb5-94aff784dd8d,false,"coming before in time, order, or logic; previous; earlier",The anterior section of the boy's brain was damaged in the incident.,
anticipate,f5f8d80a-f29b-46b9-8fd6-94c717763068,false,,,
antipathy,70d9d52f-85b1-4e36-8384-f936b7e32465,false,hatred; strong and firm dislike towards something or someone,,
antipodal,7917bd2f-9b16-41b9-90fc-dfbb1f5b592c,false,opposed; widely different,,
antipodes,5ff968aa-8981-48a1-9751-7d4ac32deabe,false,,,
antiquated,347f83e8-e418-4897-b78d-681436f20d39,false,outdated,,
antithesis,842d38c6-c5d4-4ad5-95f4-f53bac0b0555,false,,,
"antithesis; antithetical, antithetic",cc80ea2f-5860-4a8a-96e4-f86e5bdfc905,false,directly opposed or contrasted; opposite,,
anxiety,25c77b08-4872-436e-a0a2-2dc080316cdf,false,,,
apace,fbeb3318-3e0e-41db-ad06-8b13203d95f9,false,,,
apart [from],a6267aa2-b097-496b-b3d6-89d4ebd0753d,false,,,
apartheid,d3fe17c5-63e4-4415-af01-d98f8ede8dd8,false,racial segregation,South African apartheid,
apathetic; apathy [toward],4b49a682-ed2e-41f3-a6dd-8df1c912e810,false,lack of emotion or interest,ap uh THET ik,
aperture,44f1ace3-95cc-4d5e-ae46-da3ff45b642f,false,an opening,AP ur chur,
apex; apexed,0f02a5f4-3e07-4ff4-9403-87f6d1349d5f,false,highest point,AY peks,
aphorism; aphoristic,9c43a5b2-8107-4c3e-a453-049df341ac7f,false,"a proverb, often-repeated statement, or cliché",,
apocryphal,c0fed937-e0a8-466a-87a3-69d47b34473a,false,of doubtful origin; false,,
apoplectic,507bf3ee-80c8-4563-9c84-fa54571a2347,false,greatly excited or angered ,,
apostasy,0cc41bf3-fd69-48e9-a20a-6fc6e12a1c2c,false,"defection from one's faith, political or religious",,
apparel,0f3fd695-910f-4e63-b391-6e3f4ee1b92e,false,"clothing, especially outerwear",uh par uhl,
apparture,dc52e5c2-695f-4431-85f6-9f2f8f0ee545,false,,,
appeal [to]; appealing,0704b2e6-9bc6-4194-83a3-95c90a6bf938,false,,,
appease; appeasement,9122c96a-70d2-4cc4-aadb-a920c55f871c,false,to soothe; to pacity by giving in to,,
appendage,d1e5117e-98aa-4f49-b4b7-8a50bf354a86,false,,,
applaud; applauded,23bd9987-3f0c-4dec-82f5-d76d6412084a,false,,,
applicable; inapplicable,64f132a7-fb5e-442f-ad81-44160bab0598,false,,,
apportion,93407f32-5f36-4b63-9abc-a8e62017f7dc,false,distribute or allocate,,
appraise; appraisal [of],cbfe2614-e6fc-4cf6-a371-2ee04f6e021c,false,,,
appreciable,fa297caf-7089-4170-9cd3-2522d7674e70,false,readily perceived,,
appreciate,0cce08b9-1e51-411f-81d7-e0f16e462165,false,to increase in value,,
apprehensive,562218ec-50f7-46b5-88b3-b736eb033639,true,having a heightened sense of discernment; worried; anxious,,
apprise; apprised [of],123f9d01-6787-4d6b-848b-3b7a34c67f75,false,to give notice; to inform,uh PRYZE,
approach; approached; approaching,84f8d8d4-b4c0-4272-b7be-38959705e25b,false,,,
approbation,e7175051-1281-4b4d-996b-d8dfa4c45ba3,false,approval; praise; acceptance,,
appropriate,25147186-059d-459b-b63e-129e61e8e5be,false,to set aside for a particular use; to take without permission,,
aptitude,f0e37e99-1daa-48be-a643-318cd84d7035,false,capability; ability; innate/natural or acquired capacity for something; talent,AP tuh tude,
arbitrary,cf5896fb-73e9-48c5-835b-0daf5eec1748,false,contingent solely upon one's discretion; random; capricious,,
