word,mark,definition,pronunciation,example
acrimony; acrimonious,,"full of spite, bitter",,
activism,,,,
actual; actuality,,,,
acuity,,keenness of sense and intelligence,,
acumen,,acuteness of mind; keenness of perception; discernment or discrimination,AK yoo men,
acute; acutely,,sharp; shrewd,,
"adamant, adamancy",,"stubborn, unyielding, completely inflexible",,
adaptation,,,,
addict; addiction,,antonym: wean,,
additivity,,,,
address; addressed,,,We fully addressed that matter.,
"adduce, adduced, adducing",,"bringing forward as an example, reason, proof, for consideration in a discussion, analysis, or contention; offering, presenting, citing",,
adept,,,,
adept; adeptly,,very skilled; proficient; expert,,
adequate; adequacy,,,,
adhere; adherent,,"to follow, support, believe in",,
adjacent [to]; adjecency,,,,
adjectival,,,,
adjourn; adjourned,,to suspend until another time,uh JURN,
adjudicate; adjudication,,a formal ruling by a tribunal,,
adjunct [to],,"an inessential part, subordinate; something added or connected to another in a subordinate position; an assistant",AJ unkt,
ad-lib,,to improvise; to speak or act spontaneously,AD lib,
administer,,,,
admire; admiration; admirable,,,,
admission,,an acknowledgement,,
admit; admission,,"confess to be true or to be the case, typically with reluctance",,
admonish; admonition,true,to scold gently; to warn; an act or action of admonishing; to counsel or advise against something,add MAH nish,I was admonished
adolescent,,,,
adore; adoration,,,,
adroit,,"cleverly skillful, resourceful, or ingenious: an adroit debater",uh DROYT,
adulate; adulation,,wild or excessive admiration; flattery,,
adulterate,,"to debase or make impure by adding inferior materials or elements; use cheaper, inferior, or less desirable",,
advantageous,,,,
adventitious,,"coming from another source; added or appended extrinsically and not sharing original, essential, or intrinsic nature",,
"adverse, adversary; adversarial",,"oppositional, confrontational",cooperative/adversarial,
"advocate, advocated, advocation",,to speak in favor of; to support; to promote,ADD voh kayt,
aegis,,"the direction, control, supervision",,
Aesopian,,conveying an innocent meaning to an outsider but a concealed meaning to an informed member of a consipiracy,,
aesthetic,,having to do with the appreciation of beauty,es THET ik,
affable,,easy to talk to; friendly,Af uh bul,
affair,,anything done or to be done; anything requiring action or effort,,
affect,,to act on; produce an effect or change in; to give the appearance of; pretend or feign,,
affectation,,"a manner of speech or behavior not natural to ones' actual personality or capabilities, usually intended to impress",,
affectionate,,,,
affidavit,,a sworn written statement made before an official,af uh DAY vit,"had an affidavit from her neighbor giving her permission to cut down the tree; The chairman accepted an affidavit from the claimant, who was too ill to appear before the county commission."
affinity,,a natural attraction; kinship; similarity,uh FIN uh tee,
"affirm; affirming, affirmation; affirmatively; (ant. Negative)",,to state or assert positively; maintain as true,reject; abstain,
affix,,to attach; to fasten,A price tag was affixed to each item.,
"afflict, affliction; afflicted",,,,
afford; afforded,,"to give forth, or provide naturally or inevitably",,
affront,,a personally offensive act or word; deliberate act or display of disrespect; intentional slight; insult,,
afterthought,,,casual afterthought,
agent; agency,,,motivating agent,
agglomeration,,"a jumbled cluster or mass of varied parts, an indiscriminately formed mass",,
aggrandize,,"to exaggerate, put on a false front, and make something look greater and grander than it really is; to increase in size; to enlarge",uh GRAN dize,"To aggrandize his achievements, he would make up unbelievable stories of personal accomplishments.; the greatest aggrandizement of the entire evening; He aggrandized his assets by borrowing so much money and buying extravagant homes, cars, and boats."
aggravate; aggravated,,to make worse,vs. irritate (to annoy),
aggregate,,sum total; collection of separate things mixed together,,
aggrieve; aggrieved,,to mistreat; to do greivous injury to; to distress,uh GREEV,She is always aggrieved.
agile; agility,,"able to move quickly and easily; quick and well-coordinated in movement; lithe;
marked by an ability to think quickly; mentally acute or awareable to move quickly and easily; quick and well-coordinated in movement; lithe;
marked by an ability to think quickly; mentally acute or aware",AHJ uhl,
agitation,,,,
agonize; agony; agonizing,,,,
aimed,,,,
aimless; aimlessly,,,,
akin [to],,"similar in nature; having the same properties, often used with ""to""; tantamount",,
alacrity,,cheerful eagerness or readiness to respond,uh LAK ruh tee,
alarming,,,,
albeit (conjunction),,even though,,
alchemy,,"any magical process of transforming a common substance, usually of little value, into a substance of great value",,
alibi,,a defensive excuse,His alibi was ironclad; he was in the hospital at the time of the murder.,
alienate; alienation,,to make hostile; to cause to feel unwelcome or estranged,AY lee uh nate,The boss alienated his secretary by shouting at her.; He felt alienated from the rest of the team.
align; alignment; aligned,,,,
alike,,,,
all right,,,,
allay,,"to relieve, mitigate, or alleviate",,
"allege, alleged, allegation; allegiance",,to assert without proof,,
"allegiant, allegiance",,loyal or devoted to something,,
allegory,,,,
allegory; allegoric,,a figurative mode of representation conveying meaning other than the literal; an extended metaphor,AL uh gawr ee,
alleviate; alleviation,,"to ease a pain or burdern; to relieve, usually temporarily or incompletely; to lessen",uh LEE vee ayt,alleviated the need for…; alleviates painful headaches
alliance,,,,
allocate,,,,
allowance,,,,
alloy; alloyed,,"to debase, impair, or reduce",,
allude; allusion,,briefly or indirectly refer to; an indirect reference to something else; a hint,"allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.allusion (an indirect reference) vs. reference (a direct mention)
The apple in this story is a subtle allusion to the story of Adam and Eve.",
allure,,to entice with something desirable; to tempt; fascination; charm; appeal,uh LUHR,Not all fish lures allure all fish.; allured the crowd; were allured into believing that…; allured by the thought of wealth
allurement,,something that attracts or entices,,
alluring,,very attractive or tempting; enticing; seductive,,
aloof,,"distant; reserved in manner; uninvolved, standing off",uh LOOF,
altercation,,a heated dispute,,
"altruistic, altruism, altruistically",,selflessness; generosity; devotion to the interests of others,AL troo iz im,
amalgam,,mixture,,
amalgamate,,,,
amass,,to accumulate; to collect into a mass or pile; gather,uh MAS,
ambidextrous,,,,
ambience,,atmosphere; mood; feeling,AM bee uns,"an ambience of gaiety; The ambience in the Italian restaurant was delightful; there was soft music, candlelight, and…"
ambient,,"surrounding on all sides; encompassing, enveloping",,
ambiguous; ambiguity; ambiguously,,open to more than one interpretation; unclear in meaning; confusing,am BIG yoo us,
ambivalent; ambivalence,,undecided; having opposed feelings simultaneously; uncertainness,am BIV uh lint,
ameliorate,,to make better or more tolerable; to improve,uh MEEL yor ayt,
amenable,,agreeable; obedient; willing to give in to the wishes of another; responsible to authority,uh MEE nuh bul,always amenable to any reasonable solution to a problem; Sarah was amenable to calling back tomorrow when the office would be open.
amend,,,,
amenity,,pleasantness; attractive or comfortable feature,,
amiable,,friendly; agreeable; good-natured,AY mee uh bul,
"amicable, amicably",,politely friendly,,settling matters amicably
amid (prep),,in the middle of,uh MID,
amity,,friendship,,
amorous,,"feeling love, especially in a sexual sense; in love; passionate",,
amorphous,,"without definite shape, substance, or form; lacking definition and boundaries",uh MORE fis,
"ample, amply",,,,
amplify,,,,
"amplify, amplified",,amplified/diminished,,
amusingly,,,,
"anachronism, anachronistic",,in the wrong time period; something out of place in time or history; an incongruity,uh NAK ruh niz um,
anaemic,,pale and sickly looking; lacking vitality,,
anagram,,"a word, phrase, or sentence formed from another by rearranging its letters",,
analogue,,something similar; another version of the same thing,,
"analogy, analogous",,a comparison of one thing to another; similarity,,
analyze; analysis,,,,
"anamoly, anamolous",,an aberration; an irregularity; a deviation,,
anarchic,,tending toward anarchy; lawless; rebellious,,
anathema,,something or someone loathed or detested,uh NATH uh muh,
anatomy,,,,
ancillary; ancillaries,,subordinate; subsidiary,AN suh ler ee,
anecdote; anecdotal,,based on personal experience or unsubstantiated reports,,anecdotal evidence
anemic,,"lacking power, vigor, vitality",,
animate,,,,
animated,,alive; moving,,
animosity,,resentment; ill will; enmity; strong hostility; hatred,,
animus,,"ill will; antagonism; hostility, sometimes virulent",,
annex; annexation,,to add or attach,uh NEKS,
annotated,,,,
annul; annulment,,,,
anomalous,,unusual in context; irregular;  abnormal; incongruous,,
anomaly,,deviation from the normal or common order; abnormality,an AHM ah lee,
anonymous; anonymity,,,,
antagonist; antagonize,,,,
antedate,,,,
anterior,,"coming before in time, order, or logic; previous; earlier",The anterior section of the boy's brain was damaged in the incident.,
anticipate,,,,
antipathy,,hatred; strong and firm dislike towards something or someone,,
antipodal,,opposed; widely different,,
antipodes,,,,
antiquated,,outdated,,
antithesis,,,,
"antithesis; antithetical, antithetic",,directly opposed or contrasted; opposite,,
anxiety,,,,
apace,,,,
apart [from],,,,
apartheid,,racial segregation,South African apartheid,
apathetic; apathy [toward],,lack of emotion or interest,ap uh THET ik,
aperture,,an opening,AP ur chur,
apex; apexed,,highest point,AY peks,
aphorism; aphoristic,,"a proverb, often-repeated statement, or cliché",,
apocryphal,true,of doubtful origin; false,,
apoplectic,,greatly excited or angered ,,
apostasy,,"defection from one's faith, political or religious",,
apparel,,"clothing, especially outerwear",uh par uhl,
apparture,,,,
appeal [to]; appealing,,,,
appease; appeasement,,to soothe; to pacity by giving in to,,
appendage,,,,
applaud; applauded,,,,
applicable; inapplicable,,,,
apportion,,distribute or allocate,,
appraise; appraisal [of],,,,
appreciable,,readily perceived,,
appreciate,,to increase in value,,
apprehensive,true,having a heightened sense of discernment; worried; anxious,,
apprise; apprised [of],,to give notice; to inform,uh PRYZE,
approach; approached; approaching,,,,
approbation,,approval; praise; acceptance,,
appropriate,,to set aside for a particular use; to take without permission,,
aptitude,,capability; ability; innate/natural or acquired capacity for something; talent,AP tuh tude,
arbitrary,,contingent solely upon one's discretion; random; capricious,,
arbitrate,,,,
arcane,,known or understood by very few; mysterious; secret; obscure; esoteric,ar KAYN,
archaic,,characteristic of an earlier time; antiquated; old; ancient; outdated,ahr KAY ik,archaic idea of dating; archaic farm tools
archetype,,an original model or pattern,AHR kuh type,
archive,,,,
ardent; ardency,,"passionate, enthusiastic",,
arduous,,difficult; requiring great exertion; tiresome,AHR joo us,arduous chore/hike/exercise
arguable,,,,
arid,,"(of land or a climate) having little or no rain; too dry or barren to support vegetation.; lacking in interest, excitement, or meaning.",,
"arise, arising",,,,
armistice,,truce,AHR muh stus,
arouse; aroused; arousing,,,arousing suspicion,
arraign; arraignment,,to bring to court to answer an indictment; to accuse,uh RAYN,
arrant,,complete; utter,arrant nonsense,
array,,order or arrangement,UH ray,
arrears,,the state of being in debt; unpaid debts,uh RIRZ,
arrest; arrested,,,arrest your attention,
arterial,,of or designating a route of transportation carryinga main flow with amny branches,,
articulate,,to express clearly,,
artifice,,a clever trick; cunning; a wily or artful stratagem; guile,,
artificial; artificiality,,,,
"ascend, ascendancy",,rise; supremacy; domination,,
ascent,,"rise, incline",,
"ascertain, ascertained",,"to find out, as through investigation or experimentation",as er TAYN,
ascetic; asceticism,,harsh; disposed to do without luxuries; austere; practicing self-denial,uh SET ik,
"ascribe, ascribed",,"To attribute to a specified cause, source, or origin; to attribute, impute, or assign as a cause",His death was ascribed to poison.,
aside [from],,,,
aspect; aspects [of],,feature; attribute,fee CHUR,That's its greatest aspect.
aspire; aspiration,,"to seek, attain, or achieve a goal",uh SPIRE,He didn’t aspire to anything. He had no goals or career direction.; career aspiration
aspiring,,desiring and working to achieve a particular goal,,She was aspiring to be a famous writer.
"assail, assailed",,,,
assailable,,,,
assemble; assemblage; assembly; assemblies,,a collection or composition,,
assent [to],,agreement,I will assent to your requests and provide the documents you need.,
assert; assertion ; assertive,,,,
assiduous; assiduously,,constant; unremitting; hardworking; quite diligent; tirelessly; showing or characterized by persistent attention or untiring application; devoted; attentive; unremitting; persistent.,uh SIJ oo us,
assiduously,,"marked by constant, unremitting attention or by persistent, energetic application",,
assimilate; assimilation [of],,to take in; to absorb; to learn thoroughly,uh SIM uh layt,
assinine,,,,
associate; association,,,by association,
assortment; assorted,,,,
assuage,,to soothe; to make less severe; to ease; to lessen; to pacify; to ease the pain of; to relieve,uh SWAYJ,tried to assuage her disappointment
assume,,to take for granted; suppose,,
assumptive,,,,
assure; assurance; assured,,,most assuredly,
assymptotically (adverb),,"getting closer and closer to a goal, but never quite reaching it",,
"astonish; astonished,  astonishing; astonishingly",,to fill with sudden and overpowering surprise or wonder; amaze,,
astray,,,gone astray,
astute; astuteness,,quick in discernment; shrewd; clever; keen in judgment; perceptive; intelligent,uh STEWT,Larry thought a new suit would make him appear more astute for his job interview.; …has a natural astuteness in dealing with angry people
asymmetry,,imbalance,,
atone; atonement,,to make amends,uh TOHN,
atrophy,,to wither away; to waste away from lack of use,AT ruh fee,The muscles atrophied due to chronic illness.; The atrophied bodies of the starving children were an appalling sight.
attend [to]; attended; unattended; attending,,,A attending B,
attendant,,a corollary; consequent; associated; related thing or quality,,
attentive; attentively,,considerate,,
attenuate; attenuation,,"to reduce the force, effect, or value of.; to stretch out; prolong; to weaken or reduce in force, intensity, effect, quantity, or value","""her intolerance was attenuated by an unexpected liberalism""; ""radiation from the sun is attenuated by the earth's atmosphere""",attenuated basis
attest,,,,
attribute; attribution,true,a feature of something,,
attrition; attrit,,"gradual wearing away, weakening, or loss",,
"audacity, audacious",,"boldness, daring",,
audible,,capable of being heard,,
augment,,"to make greater, as in size, extent, or quantity; to supplement",awg MENT,
"augment, augmented",,to enlarge; to add to,,
aura,,"a subtly pervasive quality or atmosphere seen as emanating from a person, place, or thing",,
aural,,,,
aural,,of or related to the ear or the sense of hearing,AW rul,
auspices,,,,
auspicious,,"opportune, favorable, fortunate",,
austere; austerity,,"severely simple and plain; strict or severe in discipline, disposition, or appearance; without excess; stern",aw STEER,Mike's austere dorm room only had one chair and a mattress.; looks with austere disfavor; austerely decorated interior design
authoritative source,,,,
"autonomy, autonomous",,acting independently,,
auxiliary,,secondary; additional; giving assistance or aid,awg ZIL yuh ree,
avail,,help or benefit,,
"avarice, avaricious",,greed; excessive love of riches,,
avenue,,,,
average,,ordinary; typical; mediocre; so-so; common,,
averse,,strongly disinclined,uh VERS,
"aversion, aversions",,,,
"avert, aversive",,avoid,,
avow,,to claim; to declare boldly; to admit,,
awaken; awakened [by],,,,
aware [of]; awareness,,,,
awry,,off course; twisted to one side,uh RYE,
ax ante; ex post,,,,
axiom; axiomatic,,self-evident rule or truth; a widely accepted saying,,
backlash,,,,
bait; baited,,,,
baleful,,menacing; harmful,,
balk,,to abruptly refuse (to do something); to stop short,bawk,
"balk, balked",,to stop short and stubbornly refuse to go on,,
ban; banned,,,,
banal; banality; banalities,,unoriginal; drearily commonplace; predictable; lacking originality,buh NAL,banalities and generalities
bane; baneful,,poison; torment; cause of harm; destructive,,
banish,,,,
banter,,an exchange of good-humored or mildly teasing remarks,"BAN tur
witty banterBAN tur
witty banterBAN tur
witty banter",
banter,,,,
barrier to entry,,,,
bash,,,,
bask [in],,,,
bastion,,stronghold; fortress; fortified place,,
bear; borne [by],,,,
bearings,,,,
beckon,,,,
bedrock,,,,
befall,,"to happen, occur",,
beffudle; befuddled [by],,,,
begging the question,,,,
beguile; beguiling,,"to attract or influence someone usually by trickery, flattery, etc; mislead; delude",,as
beholden (to),,,,
belabor,,to go over repeatedly or to an absurd extent,bi LAY bur,
beleaguer; beleaguered,,to besiege; beset; surround; harass; subjected to oppressive or grievous forces; harrassed,be LEE gur,The ship was beleaguered by the constant attack of the enemy fighter planes.; Don't beleaguer him with insignificant details.
belie; belied,,to give a false impression of; to contradict,,The army commander's countenance belied his true feeling of anxiety.
belief,,confidence in an unproven idea,,
bellicose,,inclined to start quarrels,,
bellicose,,,,
belligerent; belligerence,,eager to fight; hostile or aggressive; quarrelsome,buh LIH jer int,
bellwether,,the guide by which one measures other data,,
beloved,,,,
bemoan,,"to express displeasure, distress",bih MOAN,
bemuse,,to bewilder or confuse (someone),,
benefactor,,a generous donor,,
beneficence; beneficently,,"active goodness or kindness, kindly, charitably",,
beneficial,,helpful,beneficial ownership,
benefit,,,antonym: detriment/cost,
benevolent; benevolence,,characterized by or expressing goodwill or kindly feelings; generosity; kindness,,
benign; benignly,,"gentle, non-threatening",be NINE,
bequest,,a disposition in a will,,
berate; beratement,,to condemn vehemently and at length,,
bereave; bereft,,"to deprive, dispossess; leave desolate, especially through death",bih REEV,"When Jimmy's fish died and had to leave, it bereaved him of his love of goldfish."
bereft,,,,
beseech,,to beg,,
beset,,to surround; to harass,bee SET,beset with rain and cold weather.; beset with design problems; beset with disappointment.
beyond,,,beyond reach,
bifurcate,,to branch or separate into parts,,
bilateral,,involving two groups,,
binary,,,,
binding,,,,
bittersweet,,,,
bizarre,,extremely unconventional or far-fetched,bih ZAR,"Justin's bizarre personality estranged him from the rest of the group.; As the medication began to take effect, Randy's eyes took on a faraway look, and he muttered some bizarre nonsense about wanting to ride the pony one more time."
blacklist,,,,
blasé,,"indifferent to or bored with life; unimpressed, as or as if from an excess of worldly pleasures",blah ZAY,
blasphemy,,irreverence; an insult to something held sacred; profanity,,
blatant,,unpleasantly or offensively noisy; glaring,,
blather,,to talk nonsensically; to talk long-windedly without making much sense (without real substance),BLA thur,blather on about nothing important; the women blathered until their mouths lathered; a bunch of blather by uninformed journalists; Children have great imaginations and often blather about ghosts they claim enter their rooms.; blather with her friends on the phone
bleak; bleakness,,depressing; discouraging; harsh; cold; barren; raw,bleek,bleak consequences; looked bleak; appeared bleak
"blight, blighted",,"any cause of impairment, withered or destroyed",,
"blithe, blithely",,lacking due concern; carefree,blythe; blithely dismiss,
blithely,,,,
blockade,,,,
blockage,,,,
bloviate,,"talk at length, especially in an inflated or empty way.",You are bloviating.,
bluff,,,,
blunder,,stupid mistake; to make a stupid mistake; stumble; say clumsily,blundered through the woods; a serious blunder; the man's blunder caused …,
blur,,,,
"blur, blurred",,,,
bluster; blustery; blustering,,,,
boast [of/about]; boasted; boasting,,,"boasted, ""I will …""",
bohemian,,,,
boilerplate,,,,
bolster,,to support; to strengthen; to augment; to build up,BOWL ster,bolster confidence
bombastic,,pretentious; conceited; given to pompous speech or writing,bom BAS tik,
bond,,"""That will be the bond of our relationship.""",,
boo; booed; boos,,,,
borrow,,,,
botch,,to bungle; to ruin through poor or clumsy effort,bahch,
bound; boundless; bounded [by]; unbounded,,,,
bourgeois,,"middle class, usually in a pejorative sense; boringly conventional; preoccupied with posessions",boor ZHWAH,
boysterous,,,,
brace,,,,
branded,,,,
brash,,,,
brawn,,bulk; muscles,,
breach,,,,
breadth,,,,
breakdown,,,,
breathless; breathlessly,,,,
breed; bred,,,,
brevity,,briefness; the quality or state of being brief in duration,BRE vi tee,sententious brevity
brew,,,,
brewing activity,,,,
bridge,,to provide a connection between,,
bridled; unbridled,,,,
brink,,edge,bringk,
brittle; brittleness,,hard and inelastic,,
broach,,"to open up a subject for discussion, often a delicate topic",,
brook,,to bear or tolerate; to put up with something,,
buoy,,to support or uplift,,
burden of proof,,,,
burdensome,,,,
bureaucracy,,"excessive multiplication of, and concentration of power in, administrative bureaus or administrators",,
"burgeon, burgeoning",,to expand; to grow and flourish,BUR jun,
burlesque,,"ludicrous, mocking, lewd imitation; caricature; parody",,
burn; burned [by],,,,
mores,,"customary cultural standards; moral attitudes, manners, habits",MAWR ayz,according to Chinese mores; has dubious morals and disregards accepted mores for married women
carefree,,calm and lighthearted,,
bypass,,,,
byzantine,,extremely intricate or complicated in structure,BIZ un teen,
cache,,"a hiding place, or the objects hidden in a hiding place",kash,
cacophony,,"discordant, unpleasant noise; harsh-sounding mixture amount of words, voices, or sounds",kuh KAH fuh nee,"A cacophony isn't just noise, it's a disturbing noise."
cacophony,,"discordant, unpleasant noise",,
cadence,,rhythm; the rise and fall of sounds,,
cadre,,"a nucleus or core group, especially of trained personnel or active members of an organization who are capable of assuming leadership or of training and indoctrinating others",,
cajole,,"to wheedle, coax, or persuade someone to do something they didn't want to do; to urge with repeated appeals, teasing, or flattery; to deceptively persuade someone to do something he or she does not want to do",kuh JOHL,cajole a favor; cajoled me into entering the competition; cajoled into voting for the Democratic party; cajoled her parents into accepting her request
"calamity, calamitous",,"a great misfortune or disaster, grievous affliction, adversity, misery",,
calculable,,,,
calibrate; calibration,,,,
callous; callosity,,unfeeling; insensitive; emotionally hardened,KAL us,a callous remark
callow,,"immature and inexperienced; lacking in adult sophistication, experience, perception, or judgment; youthfully naïve, inexperienced, unsophisticated",KAL oh,
candid,,completely honest; straightforward; showing candor,,speak candidly; speak with candor
candor,,directness of expression; truthfulness; sincere honesty,CAN dur,speaking with candor; speak candidly
canny; cannily,,having or showing shrewdness and good judgment (esp. in business or money matters),,
canons,,,,
cantankerous,,ill-tempered and quarrelsome; disagreeable,kan TANK er us,
capitalize,,,,
capitulate; capitulation,,"to yield; surrender, acquiesce",kah pih chew LAYT,
capricious,,"impulsive and unpredictable; random; arbitrary; antonym: steadfast, (antonym: scrupulous)",kuh PREE shus,
captive,,,,
capture,,,,
caput,,,,
careening,,,,
caricature,,,,
caricature,,"a portrait or description that is purposely distorted or exaggerated, often to prove some point about its subject",,
cascade; cascading,,"anything that resembles a waterfall, especially in seeming to flow or fall in abundance",kas KAYD,
cast; casting,,,cast as inherently sinister,
castigate,,"to criticize severely, usually with the intention of correcting a wrongdoing; to chastize; to scold, rebuke, or harshly criticize; to chide",KAS tuh gate,
"casual, casually",,,,
catalyst; catalyze,,anyone or anything that makes something happen without being directly involved in it,,castigated him for tracking mud on the new living room carpet
catapult,,to throw or launch,,catapulted into first place
catatonic,,,,
catch-all,,,,
catch-all,,,,
catchword,,,,
categorical,,unconditional; absolute,,
cater,,,,
catharsis; cathartic,,an emotional or psychological purification or cleansing that brings relief or renewal,kuh THAR sis,a catharsis for mentally disabled patients; he found the experience cathartic; annual catharsis
catholic,,universal in extent; involving all; of interest to all,,
causality,,,,
caustic,,severely critical or sarcastic; insulting; like acid; corrosive,,
caution [against],,,,
cavalier,,,,
"caveat, caveats",,,,
cease; cessation,,,,
cede; ceding,,"to give up, give over, grant, or concede, typically by treaty or negotiated pact",,
cede; cessation,,,,
celibate,,,,
celibate; celibacy,,abstinence from sex,,
censor,,,,
censure,,to issue official blame; to condemn severely for doing something bad,SEN shur,
centralize; decentralize; centralization; decentralization,,,,
centricity,,,,
centripetal,,"moving, proceeding, or acting in a direction toward a center or axis",,
cerebral,,of or relating to the brain or intellece; intellectually refined,sur REE brul,
certitude,,possessing certainty,,
cessation,,end,,
chagrin,,,,
"chagrin, chagrined",,humiliation; embarrassed disappointment,,
channel; channels,,,,
chant; chanted; chants [of]; chanting,,,,
characteristic,,,trait; quality,
charade,,,,
charge,,,,
charisma; charismatic,,charming; appealing; a magical-seeming ability to attract followers or inspire loyalty,,
charlatan,,fraud; quack; con artist,,
charming,,,,
chasm,,"a deep opening in the earth's surface; a gorge; differences of opinion, interests, loyalties, etc.",KAZ um,the chasm of difference between their attitudes
"chastise, chastised",,criticize severely; to discipline,,
checkered,,,,
chicanery,,trickery; deceitfulness; artifice; especially legal or political,chik AY ner ee,
"chimera, chimerical",,"an illusion; a foolish fancy, unusually impractical and romantic idea",kye MEER uh,
"chivalry, chivalrous",,,,
choleric,,hot-tempered; quick to anger,KAHL ur ik,
chronic; chronicly,,constant; lasting a long time; continuous,KRAHN ik,chronic complainer; chronic gossiping
chronicle (n or v),,a record of events in order of time; a history,,
chronological,,in order of time,,
churlish,,,,
circuitous,,roundabout; indirect; not following a direct path,sir QYOO eh tuhs,circuitous route
circulating,,,,
circumastantial (indirect) evidence,,proof of facts offered as evidence from which other facts are to be inferred (contrasted with direct evidence) It is used to establish a conclusion by inference,,
circumlocation,,indirect or roundabout expression,,
circumlocation,,an indirect expression; use of wordy or evasive language,,
circumscribe,,to draw a line around; to set the limits; to define; to restrict,SER kum skryb,
circumspect,,careful; prudent; discreet; cautious,SER kum spekt,
circumstantial,,"dependent on circumstances, incidental",,
circumvent,,to frustrate as though by surrounding; to get arround something,,
citadel,,a fortress overlooking a city; a stronghold,SIT uh dl,
"cite, citing",,,,
civil,,polite; civilized; courteous,,
claim,,,,
